,,2010,,,,,,,,,,,,2011,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,2016,,,,,,,,
,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
Cumulative Capacity (MW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB,0 to ? 4 kW,9.648,10.749,12.611,14.831,18.297,22.548,27.766,32.984,39.753,47.959,57.477,64.742,74.679,86.138,103.292,119.659,139.280,165.122,195.616,235.241,285.264,343.975,509.173,634.908,657.412,783.784,854.808,869.351,899.149,937.611,1013.632,1023.913,1038.520,1069.458,1085.563,1102.299,1120.457,1139.662,1162.069,1185.835,1210.130,1246.027,1265.034,1287.346,1311.108,1336.942,1366.504,1391.138,1414.978,1440.826,1485.929,1509.557,1535.540,1564.019,1596.158,1627.217,1663.728,1701.694,1738.242,1775.960,1798.593,1827.107,1873.365,1903.705,1936.483,1984.138,2016.315,2048.775,2103.243,2149.889,2210.793,2278.434,2327.733,2334.814,2344.078,2351.079,2358.825,2367.578,2374.554,2381.073,2387.506
,4 to ? 10 kW,2.473,2.658,2.944,3.117,3.407,3.738,4.088,4.384,4.679,5.081,5.540,5.840,6.510,7.152,8.133,9.127,10.232,11.469,12.955,14.846,16.693,18.827,27.900,41.794,42.422,50.505,55.219,55.565,56.768,58.641,65.630,66.205,66.832,68.808,69.437,70.449,71.420,72.770,74.503,76.045,77.777,81.382,82.447,83.843,85.207,86.742,88.407,90.142,91.777,93.331,97.512,98.576,100.014,101.660,103.367,105.364,107.323,109.227,111.220,114.438,115.421,117.058,120.826,122.104,123.943,127.426,129.352,131.261,135.626,138.121,142.024,150.594,155.176,155.936,157.183,158.262,159.224,160.421,161.580,162.891,164.469
,10 to ? 50 kW,2.745,2.840,3.212,3.458,3.836,4.026,4.206,4.483,4.950,5.345,5.898,6.183,6.752,7.509,8.355,9.321,10.486,11.900,15.177,18.409,22.647,27.026,48.876,96.102,97.207,135.185,161.452,163.090,167.510,176.770,216.591,217.991,220.313,228.765,231.404,234.217,237.747,243.491,251.455,261.577,270.215,293.077,297.551,304.494,311.475,317.395,324.791,331.831,337.149,343.693,367.313,370.505,375.494,383.705,391.560,398.528,408.431,417.545,426.708,445.904,449.298,455.505,467.666,475.149,482.040,494.369,504.536,515.588,539.516,551.350,570.642,622.067,646.430,648.441,652.571,655.208,658.113,662.407,666.208,670.899,677.950
,50 kW to ? 5 MW,1.277,1.277,1.277,1.277,1.444,2.244,2.395,2.395,2.395,2.842,2.894,3.071,3.071,3.652,4.469,5.402,7.149,19.740,180.527,180.527,186.893,200.785,201.868,207.444,207.604,208.787,218.666,219.561,220.155,235.570,312.351,315.030,316.264,318.845,325.653,327.182,332.007,340.630,442.305,472.060,481.815,486.958,496.181,511.794,521.670,533.461,539.885,554.155,566.022,583.965,683.125,697.779,714.796,748.845,763.793,777.825,787.523,801.472,818.236,853.262,863.337,885.750,1005.745,1013.697,1031.628,1091.020,1112.345,1143.274,1176.143,1247.536,1306.759,1740.407,1788.897,1837.837,2269.222,2269.519,2281.875,2305.622,2305.877,2318.776,2318.776
,5 to ? 25 MW,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,6.000,6.000,6.000,6.000,11.500,11.500,11.500,11.500,11.500,11.500,11.500,11.500,17.632,208.878,228.355,281.194,295.097,302.117,321.292,326.615,326.615,361.057,409.705,466.747,530.180,1401.445,1417.077,1417.077,1483.099,1544.864,1550.937,1613.215,1651.143,1718.093,1856.997,1880.270,1995.847,3519.144,3538.645,3538.645,3538.645,3549.696,3564.611,3564.611,3595.102,3638.051,3733.099,3770.970,3798.062,3995.707,4006.327,4024.227,4050.727,4050.727,4062.667,4062.667
,> 25 MW,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,34.470,34.470,34.470,34.470,34.470,34.470,34.470,34.470,34.470,66.060,66.060,97.761,97.761,97.761,97.761,97.761,130.211,130.211,204.018,264.699,264.699,351.276,351.276,351.276,946.977,946.977,946.977,946.977,946.977,946.977,946.977,946.977,946.977,946.977,976.929,976.929,1372.152,1372.152,1372.152,1399.292,1399.292,1399.292,1399.292
,TOTAL,16.143,17.524,20.044,22.683,26.984,32.556,38.454,44.247,51.777,61.228,71.808,79.837,91.013,104.450,124.249,143.509,167.146,208.230,404.275,449.023,511.497,590.613,787.817,980.248,1010.645,1184.261,1296.145,1313.567,1349.581,1420.092,1619.705,1634.639,1653.428,1697.376,1723.558,1745.647,1773.131,1814.185,2173.679,2258.342,2355.600,2437.012,2477.801,2543.239,2590.545,2635.624,2715.115,2843.030,2942.733,3089.755,4133.085,4191.255,4240.681,4379.090,4529.952,4590.082,4784.237,4945.779,5077.197,5397.837,5458.194,5632.542,7933.722,8000.278,8059.715,8182.575,8259.222,8350.485,8466.116,8628.976,8815.246,9471.578,9666.135,9752.019,10790.913,10812.547,10854.416,10946.047,10958.239,10995.599,11010.660
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
